Date,Home,Away,OU,Spread,ML_Home,ML_Away,Points,Win_Margin,Days_Rest_Home,Days_Rest_Away,home_win,implied_home_prob_vig,implied_away_prob_vig,vig,market_home_prob
2007-11-17,Los Angeles Clippers,Chicago Bulls,191.0,1.5,140.0,-160.0,165,-19,1,2,0,0.4166666666666667,0.6153846153846154,0.03205128205128216,0.40372670807453415
2007-11-17,Dallas Mavericks,Memphis Grizzlies,210.0,12.5,-1500.0,950.0,213,3,2,1,1,0.9375,0.09523809523809523,0.032738095238095344,0.9077809798270893
2007-11-17,Milwaukee Bucks,Atlanta Hawks,198.5,8.0,-335.0,285.0,201,9,3,1,1,0.7701149425287356,0.2597402597402597,0.029855202268995296,0.7477895347151761
2007-11-17,Houston Rockets,Phoenix Suns,198.0,4.5,210.0,-250.0,220,-10,1,2,0,0.3225806451612903,0.7142857142857143,0.03686635944700467,0.31111111111111106
2007-11-17,New Jersey Nets,Miami Heat,180.0,2.0,135.0,-155.0,178,-4,1,1,0,0.425531914893617,0.6078431372549019,0.03337505214851899,0.4117884537747275
2007-11-17,Indiana Pacers,Utah Jazz,203.0,6.0,190.0,-230.0,214,20,1,1,1,0.3448275862068966,0.696969696969697,0.04179728317659359,0.33099297893681046
2007-11-17,Minnesota Timberwolves,New Orleans Pelicans,190.0,5.5,160.0,-190.0,182,-18,1,1,0,0.38461538461538464,0.6551724137931034,0.039787798408488007,0.3698979591836735
2007-11-17,Charlotte Bobcats,Seattle SuperSonics,196.5,7.5,-360.0,300.0,184,16,3,1,1,0.782608695652174,0.25,0.032608695652173836,0.7578947368421054
2007-11-17,Washington Wizards,Portland Trail Blazers,195.0,5.5,-205.0,175.0,199,19,1,1,1,0.6721311475409836,0.36363636363636365,0.03576751117734722,0.6489208633093525
2007-11-18,Sacramento Kings,Detroit Pistons,193.0,5.0,175.0,-205.0,200,10,2,2,1,0.36363636363636365,0.6721311475409836,0.03576751117734722,0.3510791366906475
2007-11-18,Los Angeles Lakers,Chicago Bulls,195.5,4.5,-230.0,190.0,184,28,2,1,1,0.696969696969697,0.3448275862068966,0.04179728317659359,0.6690070210631895
2007-11-18,Toronto Raptors,Golden State Warriors,217.5,5.0,-260.0,220.0,206,-6,2,2,0,0.7222222222222222,0.3125,0.03472222222222232,0.6979865771812079
2007-11-18,Orlando Magic,Boston Celtics,189.0,0.0,100.0,-120.0,206,2,2,2,1,0.5,0.5454545454545454,0.045454545454545414,0.4782608695652174
2007-11-19,Charlotte Bobcats,Portland Trail Blazers,187.0,5.0,-230.0,190.0,193,9,2,2,1,0.696969696969697,0.3448275862068966,0.04179728317659359,0.6690070210631895
2007-11-19,Memphis Grizzlies,Seattle SuperSonics,218.0,6.0,-235.0,195.0,233,17,2,2,1,0.7014925373134329,0.3389830508474576,0.040475588160890474,0.6742037442256261
2007-11-19,New Orleans Pelicans,Orlando Magic,188.0,0.0,-120.0,100.0,183,-7,2,1,0,0.5454545454545454,0.5,0.045454545454545414,0.5217391304347826
2007-11-19,Utah Jazz,New Jersey Nets,190.5,11.0,-700.0,550.0,177,27,2,2,1,0.875,0.15384615384615385,0.028846153846153744,0.8504672897196263
